0.16, 4, white, Entry
0.16, 4, white, Exit
0.16, 2, white, Entry
0.16, 2, white, Exit
0.16, 1, white, Entry
0.16, 4, orange, Entry
0.16, 4, orange, Exit
0.16, 1, orange, Entry
0.73, 1, white, Exit
0.73, 4, white, Entry
0.73, 4, white, Exit
0.73, 2, white, Entry
0.73, 2, white, Exit
0.73, 1, white, Entry
0.73, 1, white, Exit
0.73, 2, white, Entry
1.03, 2, white, Exit
1.03, 4, white, Entry
1.03, 4, white, Exit
1.03, 2, white, Entry
1.03, 2, white, Exit
1.03, 1, white, Entry
1.03, 1, orange, Exit
1.03, 2, orange, Entry
1.36, 1, white, Exit
1.36, 4, white, Entry
1.36, 4, white, Exit
1.36, 2, white, Entry
1.36, 2, white, Exit
1.36, 1, white, Entry
1.36, 2, orange, Exit
1.36, 1, orange, Entry
1.67, 1, white, Exit
1.67, 4, white, Entry
1.67, 4, white, Exit
1.67, 2, white, Entry
1.88, 2, white, Exit
1.88, 4, white, Entry
1.88, 4, white, Exit
1.88, 2, white, Entry
2.07, 2, white, Exit
2.07, 4, white, Entry
2.07, 4, white, Exit
2.07, 2, white, Entry
2.07, 2, white, Exit
2.07, 1, white, Entry
2.07, 1, white, Exit
2.07, 2, white, Entry
2.31, 2, white, Exit
2.31, 4, white, Entry
2.31, 4, white, Exit
2.31, 2, white, Entry
2.31, 1, orange, Exit
2.31, 4, orange, Entry
2.31, 4, orange, Exit
2.31, 1, orange, Entry
2.60, 2, white, Exit
2.60, 4, white, Entry
2.60, 4, white, Exit
2.60, 2, white, Entry
2.60, 1, orange, Exit
2.60, 4, orange, Entry
2.60, 4, orange, Exit
2.60, 1, orange, Entry
2.94, 2, white, Exit
2.94, 4, white, Entry
2.94, 4, white, Exit
2.94, 2, white, Entry
2.94, 2, white, Exit
2.94, 1, white, Entry
2.94, 1, white, Exit
2.94, 2, white, Entry
2.94, 1, orange, Exit
2.94, 4, orange, Entry
2.94, 4, orange, Exit
2.94, 1, orange, Entry
3.13, 2, white, Exit
3.13, 4, white, Entry
3.13, 4, white, Exit
3.13, 2, white, Entry
3.13, 2, white, Exit
3.13, 1, white, Entry
3.13, 1, orange, Exit
3.13, 4, orange, Entry
3.13, 4, orange, Exit
3.13, 2, orange, Entry
3.13, 2, orange, Exit
3.13, 1, orange, Entry
3.37, 1, white, Exit
3.37, 4, white, Entry
3.37, 4, white, Exit
3.37, 2, white, Entry
3.37, 2, white, Exit
3.37, 1, white, Entry
3.37, 1, orange, Exit
3.37, 4, orange, Entry
3.37, 4, orange, Exit
3.37, 1, orange, Entry
3.61, 1, white, Exit
3.61, 4, white, Entry
3.61, 4, white, Exit
3.61, 2, white, Entry
3.61, 2, white, Exit
3.61, 1, white, Entry
3.61, 1, orange, Exit
3.61, 4, orange, Entry
3.61, 4, orange, Exit
3.61, 1, orange, Entry
3.92, 1, white, Exit
3.92, 4, white, Entry
3.92, 4, white, Exit
3.92, 2, white, Entry
3.92, 2, white, Exit
3.92, 1, white, Entry
4.22, 1, white, Exit
4.22, 4, white, Entry
4.22, 4, white, Exit
4.22, 2, white, Entry
4.22, 2, white, Exit
4.22, 1, white, Entry
4.47, 1, white, Exit
4.47, 4, white, Entry
4.47, 4, white, Exit
4.47, 2, white, Entry
4.47, 2, white, Exit
4.47, 1, white, Entry
4.70, 1, white, Exit
4.70, 4, white, Entry
4.70, 4, white, Exit
4.70, 2, white, Entry
4.70, 2, white, Exit
4.70, 1, white, Entry
4.97, 1, white, Exit
4.97, 4, white, Entry
4.97, 4, white, Exit
4.97, 2, white, Entry
4.97, 2, white, Exit
4.97, 1, white, Entry
5.31, 1, white, Exit
5.31, 4, white, Entry
5.31, 4, white, Exit
5.31, 2, white, Entry
5.31, 2, white, Exit
5.31, 1, white, Entry
5.31, 1, orange, Exit
5.31, 4, orange, Entry
5.31, 4, orange, Exit
5.31, 2, orange, Entry
5.31, 2, orange, Exit
5.31, 1, orange, Entry
5.64, 1, white, Exit
5.64, 4, white, Entry
5.64, 4, white, Exit
5.64, 2, white, Entry
5.64, 2, white, Exit
5.64, 1, white, Entry
5.64, 1, orange, Exit
5.64, 2, orange, Entry
5.64, 2, orange, Exit
5.64, 1, orange, Entry
5.94, 1, white, Exit
5.94, 4, white, Entry
5.94, 4, white, Exit
5.94, 2, white, Entry
5.94, 2, white, Exit
5.94, 1, white, Entry
6.27, 1, white, Exit
6.27, 4, white, Entry
6.27, 4, white, Exit
6.27, 2, white, Entry
6.27, 2, white, Exit
6.27, 1, white, Entry
6.63, 1, white, Exit
6.63, 4, white, Entry
6.63, 4, white, Exit
6.63, 2, white, Entry
6.63, 2, white, Exit
6.63, 1, white, Entry
6.63, 1, white, Exit
6.63, 2, white, Entry
6.63, 1, orange, Exit
6.63, 4, orange, Entry
6.63, 4, orange, Exit
6.63, 1, orange, Entry
7.03, 2, white, Exit
7.03, 4, white, Entry
7.03, 4, white, Exit
7.03, 2, white, Entry
7.03, 2, white, Exit
7.03, 1, white, Entry
7.03, 1, orange, Exit
7.03, 4, orange, Entry
7.03, 4, orange, Exit
7.03, 1, orange, Entry
7.34, 1, white, Exit
7.34, 4, white, Entry
7.34, 4, white, Exit
7.34, 2, white, Entry
7.34, 2, white, Exit
7.34, 1, white, Entry
7.34, 1, orange, Exit
7.34, 4, orange, Entry
7.34, 4, orange, Exit
7.34, 1, orange, Entry
7.60, 1, white, Exit
7.60, 4, white, Entry
7.60, 4, white, Exit
7.60, 2, white, Entry
7.60, 2, white, Exit
7.60, 1, white, Entry
7.60, 1, white, Exit
7.60, 2, white, Entry
7.60, 1, orange, Exit
7.60, 4, orange, Entry
7.60, 4, orange, Exit
7.60, 1, orange, Entry
7.92, 2, white, Exit
7.92, 4, white, Entry
7.92, 4, white, Exit
7.92, 2, white, Entry
7.92, 2, white, Exit
7.92, 1, white, Entry
7.92, 1, orange, Exit
7.92, 4, orange, Entry
7.92, 4, orange, Exit
7.92, 1, orange, Entry
8.26, 1, white, Exit
8.26, 4, white, Entry
8.26, 4, white, Exit
8.26, 2, white, Entry
8.26, 2, white, Exit
8.26, 1, white, Entry
8.26, 1, orange, Exit
8.26, 4, orange, Entry
8.26, 4, orange, Exit
8.26, 1, orange, Entry
8.62, 1, white, Exit
8.62, 4, white, Entry
8.62, 4, white, Exit
8.62, 2, white, Entry
8.62, 2, white, Exit
8.62, 1, white, Entry
8.62, 1, white, Exit
8.62, 2, white, Entry
8.62, 1, orange, Exit
8.62, 2, orange, Entry
8.91, 2, white, Exit
8.91, 4, white, Entry
8.91, 4, white, Exit
8.91, 2, white, Entry
8.91, 2, white, Exit
8.91, 1, white, Entry
8.91, 2, orange, Exit
8.91, 1, orange, Entry
9.17, 1, white, Exit
9.17, 4, white, Entry
9.17, 4, white, Exit
9.17, 2, white, Entry
9.17, 1, orange, Exit
9.17, 3, orange, Entry
9.17, 3, orange, Exit
9.17, 1, orange, Entry
9.62, 2, white, Exit
9.62, 4, white, Entry
9.62, 4, white, Exit
9.62, 2, white, Entry
9.62, 1, orange, Exit
9.62, 3, orange, Entry
9.62, 3, orange, Exit
9.62, 1, orange, Entry
10.06, 2, white, Exit
10.06, 4, white, Entry
10.06, 4, white, Exit
10.06, 2, white, Entry
10.06, 1, orange, Exit
10.06, 3, orange, Entry
10.06, 3, orange, Exit
10.06, 1, orange, Entry
10.42, 2, white, Exit
10.42, 4, white, Entry
10.42, 4, white, Exit
10.42, 2, white, Entry
10.42, 1, orange, Exit
10.42, 3, orange, Entry
10.42, 3, orange, Exit
10.42, 2, orange, Entry
10.42, 2, orange, Exit
10.42, 1, orange, Entry
10.64, 2, white, Exit
10.64, 4, white, Entry
10.64, 4, white, Exit
10.64, 2, white, Entry
10.64, 1, orange, Exit
10.64, 3, orange, Entry
10.64, 3, orange, Exit
10.64, 1, orange, Entry
11.03, 2, white, Exit
11.03, 4, white, Entry
11.03, 4, white, Exit
11.03, 2, white, Entry
11.03, 2, white, Exit
11.03, 1, white, Entry
11.03, 1, white, Exit
11.03, 2, white, Entry
11.03, 1, orange, Exit
11.03, 3, orange, Entry
11.03, 3, orange, Exit
11.03, 1, orange, Entry
11.34, 2, white, Exit
11.34, 4, white, Entry
11.34, 4, white, Exit
11.34, 2, white, Entry
11.34, 2, white, Exit
11.34, 1, white, Entry
11.34, 1, white, Exit
11.34, 2, white, Entry
11.34, 1, orange, Exit
11.34, 3, orange, Entry
11.34, 3, orange, Exit
11.34, 1, orange, Entry
11.67, 2, white, Exit
11.67, 4, white, Entry
11.67, 4, white, Exit
11.67, 2, white, Entry
11.67, 2, white, Exit
11.67, 1, white, Entry
11.67, 1, white, Exit
11.67, 2, white, Entry
11.99, 2, white, Exit
11.99, 4, white, Entry
11.99, 4, white, Exit
11.99, 2, white, Entry
11.99, 2, white, Exit
11.99, 1, white, Entry
11.99, 1, white, Exit
11.99, 2, white, Entry
11.99, 1, orange, Exit
11.99, 3, orange, Entry
11.99, 3, orange, Exit
11.99, 1, orange, Entry
12.28, 2, white, Exit
12.28, 4, white, Entry
12.28, 4, white, Exit
12.28, 2, white, Entry
12.28, 2, white, Exit
12.28, 1, white, Entry
12.28, 1, white, Exit
12.28, 2, white, Entry
12.57, 2, white, Exit
12.57, 4, white, Entry
12.57, 4, white, Exit
12.57, 2, white, Entry
12.57, 2, white, Exit
12.57, 1, white, Entry
12.57, 1, white, Exit
12.57, 2, white, Entry
12.92, 2, white, Exit
12.92, 4, white, Entry
12.92, 4, white, Exit
12.92, 2, white, Entry
12.92, 1, orange, Exit
12.92, 3, orange, Entry
12.92, 3, orange, Exit
12.92, 1, orange, Entry
13.21, 2, white, Exit
13.21, 4, white, Entry
13.21, 4, white, Exit
13.21, 2, white, Entry
13.21, 2, white, Exit
13.21, 1, white, Entry
13.21, 1, white, Exit
13.21, 2, white, Entry
13.21, 1, orange, Exit
13.21, 3, orange, Entry
13.21, 3, orange, Exit
13.21, 1, orange, Entry
13.46, 2, white, Exit
13.46, 4, white, Entry
13.46, 4, white, Exit
13.46, 2, white, Entry
13.68, 2, white, Exit
13.68, 4, white, Entry
13.68, 4, white, Exit
13.68, 2, white, Entry
13.68, 2, white, Exit
13.68, 1, white, Entry
13.68, 1, white, Exit
13.68, 2, white, Entry
13.68, 1, orange, Exit
13.68, 3, orange, Entry
13.68, 3, orange, Exit
13.68, 1, orange, Entry
13.95, 2, white, Exit
13.95, 4, white, Entry
13.95, 4, white, Exit
13.95, 2, white, Entry
13.95, 2, white, Exit
13.95, 1, white, Entry
13.95, 1, white, Exit
13.95, 2, white, Entry
13.95, 1, orange, Exit
13.95, 3, orange, Entry
13.95, 3, orange, Exit
13.95, 2, orange, Entry
13.95, 2, orange, Exit
13.95, 1, orange, Entry
14.23, 2, white, Exit
14.23, 4, white, Entry
14.23, 4, white, Exit
14.23, 2, white, Entry
14.23, 2, white, Exit
14.23, 1, white, Entry
14.23, 1, white, Exit
14.23, 2, white, Entry
14.23, 1, orange, Exit
14.23, 3, orange, Entry
14.23, 3, orange, Exit
14.23, 2, orange, Entry
14.23, 2, orange, Exit
14.23, 1, orange, Entry
14.55, 2, white, Exit
14.55, 4, white, Entry
14.55, 4, white, Exit
14.55, 2, white, Entry
14.55, 2, white, Exit
14.55, 1, white, Entry
14.55, 1, white, Exit
14.55, 2, white, Entry
14.55, 1, orange, Exit
14.55, 2, orange, Entry
14.55, 2, orange, Exit
14.55, 1, orange, Entry
14.78, 2, white, Exit
14.78, 4, white, Entry
14.78, 4, white, Exit
14.78, 2, white, Entry
14.78, 2, white, Exit
14.78, 1, white, Entry
14.78, 1, white, Exit
14.78, 2, white, Entry
14.78, 1, orange, Exit
14.78, 3, orange, Entry
14.78, 3, orange, Exit
14.78, 2, orange, Entry
14.78, 2, orange, Exit
14.78, 1, orange, Entry
15.02, 2, white, Exit
15.02, 4, white, Entry
15.02, 4, white, Exit
15.02, 2, white, Entry
15.02, 1, orange, Exit
15.02, 3, orange, Entry
15.02, 3, orange, Exit
15.02, 2, orange, Entry
15.02, 2, orange, Exit
15.02, 1, orange, Entry
15.29, 2, white, Exit
15.29, 4, white, Entry
15.29, 4, white, Exit
15.29, 2, white, Entry
15.29, 2, white, Exit
15.29, 1, white, Entry
15.29, 1, white, Exit
15.29, 2, white, Entry
15.64, 2, white, Exit
15.64, 4, white, Entry
15.64, 4, white, Exit
15.64, 2, white, Entry
15.64, 2, white, Exit
15.64, 1, white, Entry
15.64, 1, white, Exit
15.64, 2, white, Entry
15.85, 2, white, Exit
15.85, 4, white, Entry
15.85, 4, white, Exit
15.85, 2, white, Entry
15.85, 2, white, Exit
15.85, 1, white, Entry
15.85, 1, white, Exit
15.85, 2, white, Entry
15.85, 1, orange, Exit
15.85, 3, orange, Entry
15.85, 3, orange, Exit
15.85, 1, orange, Entry
16.11, 2, white, Exit
16.11, 4, white, Entry
16.11, 4, white, Exit
16.11, 2, white, Entry
16.11, 2, white, Exit
16.11, 1, white, Entry
16.11, 1, white, Exit
16.11, 2, white, Entry
16.11, 1, orange, Exit
16.11, 3, orange, Entry
16.11, 3, orange, Exit
16.11, 1, orange, Entry
16.35, 2, white, Exit
16.35, 4, white, Entry
16.35, 4, white, Exit
16.35, 2, white, Entry
16.35, 2, white, Exit
16.35, 1, white, Entry
16.35, 1, white, Exit
16.35, 2, white, Entry
16.35, 1, orange, Exit
16.35, 3, orange, Entry
16.35, 3, orange, Exit
16.35, 1, orange, Entry
16.68, 2, white, Exit
16.68, 4, white, Entry
16.68, 4, white, Exit
16.68, 2, white, Entry
16.99, 2, white, Exit
16.99, 4, white, Entry
16.99, 4, white, Exit
16.99, 2, white, Entry
16.99, 1, orange, Exit
16.99, 2, orange, Entry
16.99, 2, orange, Exit
16.99, 1, orange, Entry
17.23, 2, white, Exit
17.23, 4, white, Entry
17.23, 4, white, Exit
17.23, 2, white, Entry
17.23, 1, orange, Exit
17.23, 2, orange, Entry
17.23, 2, orange, Exit
17.23, 1, orange, Entry
17.50, 2, white, Exit
17.50, 4, white, Entry
17.50, 4, white, Exit
17.50, 2, white, Entry
17.50, 2, white, Exit
