Time, Quadrant Number, Ball Colour, Type
1720446617.8652785, 3, Yellow, Entry
1720446619.6507533, 3, Yellow, Entry
1720446620.2342076, 3, Yellow, Entry
1720446630.6793828, 3, Yellow, Entry
1720446633.2254276, 3, Yellow, Entry
1720446633.2254276, 3, Green, Entry
1720446633.9792018, 3, Green, Entry
1720446635.1848257, 3, Yellow, Entry
1720446635.8326964, 3, Yellow, Entry
1720446637.851776, 3, Yellow, Entry
1720446639.1217043, 3, Yellow, Entry
1720446641.0954473, 3, Yellow, Entry
1720446641.7155347, 3, Yellow, Entry
1720446642.4158616, 3, Yellow, Entry
1720446643.0728939, 3, Yellow, Entry
1720446644.503777, 3, Yellow, Entry
1720446647.7936037, 3, Yellow, Entry
1720446648.498814, 3, Yellow, Entry
1720446649.820829, 3, Yellow, Entry
1720446652.9690392, 3, Yellow, Entry
1720446653.5728712, 3, Yellow, Entry
1720446654.267662, 3, Yellow, Entry
1720446654.9683852, 3, Yellow, Entry
1720446656.367434, 3, Yellow, Entry
1720446675.5068412, 3, Yellow, Entry
1720446685.5299878, 3, Yellow, Entry
1720446686.2273629, 3, Yellow, Entry
1720446687.0039773, 3, Yellow, Entry
1720446687.8827515, 3, Yellow, Entry
1720446688.7635698, 3, Yellow, Entry
1720446690.3768787, 3, Yellow, Entry
1720446691.14555, 3, Yellow, Entry
1720446691.7572029, 3, Yellow, Entry
1720446692.3853154, 3, Yellow, Entry
1720446693.02904, 3, Yellow, Entry
1720446693.6414068, 3, Yellow, Entry
1720446694.975895, 3, Yellow, Entry
1720446695.6037588, 3, Yellow, Entry
1720446696.9065218, 3, Yellow, Entry
1720446697.581718, 3, Yellow, Entry
1720446698.319304, 3, Yellow, Entry
1720446699.6689959, 3, Yellow, Entry
1720446700.3434384, 3, Yellow, Entry
1720446701.0688024, 3, Yellow, Entry
1720446701.7573993, 3, Yellow, Entry
1720446705.5570686, 3, Yellow, Entry
1720446718.2089474, 3, Yellow, Entry
1720446724.294098, 3, Yellow, Entry
1720446726.943698, 3, Yellow, Entry
1720446728.6335979, 3, Yellow, Entry
1720446729.571267, 3, Yellow, Entry
1720446733.209102, 3, Yellow, Entry
1720446737.8378668, 3, Yellow, Entry
1720446740.5810008, 3, Yellow, Entry
1720446741.5300393, 3, Yellow, Entry
1720446743.351073, 3, Yellow, Entry
1720446744.2782671, 3, Yellow, Entry
1720446746.1112213, 3, Yellow, Entry
1720446747.9231353, 3, Yellow, Entry
1720446748.8725755, 3, Yellow, Entry
1720446752.672501, 3, Yellow, Entry
1720446756.9400687, 3, Yellow, Entry
1720446757.8897872, 1, Yellow, Entry
1720446758.8933523, 1, Yellow, Entry
1720446766.2972908, 3, Yellow, Entry
1720446772.3241444, 3, Yellow, Entry
1720446774.2784235, 3, Yellow, Entry
1720446775.3028853, 3, Yellow, Entry
1720446778.380451, 3, Yellow, Entry
1720446780.3604982, 3, Yellow, Entry
1720446782.5076377, 3, Yellow, Entry
1720446789.566232, 3, Yellow, Entry
1720446793.411832, 3, Yellow, Entry
1720446794.373969, 3, Yellow, Entry
1720446796.7512097, 3, Yellow, Entry
1720446801.7803442, 3, Yellow, Entry
1720446809.6127365, 3, Yellow, Entry
1720446810.8768907, 3, Yellow, Entry
1720446812.958847, 3, Yellow, Entry
1720446813.876724, 3, Yellow, Entry
1720446814.8423097, 3, Yellow, Entry
1720446815.773774, 3, Yellow, Entry
1720446819.8216732, 3, Yellow, Entry
1720446825.12048, 3, Yellow, Entry
1720446828.0811915, 3, Yellow, Entry
1720446834.2299473, 3, Yellow, Entry
1720446835.4668095, 3, Yellow, Entry
1720446858.2567253, 3, Yellow, Entry
1720446861.1054952, 3, Yellow, Entry
1720446862.9295776, 3, Yellow, Entry
1720446885.1378634, 3, Yellow, Entry
1720446889.1951683, 3, Yellow, Entry
1720447055.8170733, 2, Yellow, Entry
1720447056.7408023, 2, Yellow, Entry
1720447057.6813915, 2, Yellow, Entry
1720447058.5596719, 2, Yellow, Entry
1720447059.4234319, 2, Yellow, Entry
1720447060.2668636, 2, Yellow, Entry
1720447061.1292915, 2, Yellow, Entry
1720447062.0681026, 2, Yellow, Entry
1720447063.0101502, 2, Yellow, Entry
1720447063.9346764, 2, Yellow, Entry
1720447065.7534478, 2, Yellow, Entry
1720447066.6299477, 2, Yellow, Entry
1720447068.433037, 2, Yellow, Entry
1720447069.2937706, 2, Yellow, Entry
1720447070.1420298, 2, Yellow, Entry
1720447071.1119492, 2, Yellow, Entry
1720447071.9739075, 2, Yellow, Entry
1720447072.8371933, 2, Yellow, Entry
1720447073.7127578, 2, Yellow, Entry
1720447074.5912387, 2, Yellow, Entry
1720447075.441234, 2, Yellow, Entry
1720447076.3315673, 2, Yellow, Entry
1720447077.3026156, 2, Yellow, Entry
1720447078.1432986, 2, Yellow, Entry
1720447079.106952, 2, Yellow, Entry
1720447079.9976513, 2, Yellow, Entry
1720447082.9571207, 2, Yellow, Entry
1720447212.666267, 2, Yellow, Entry
1720447215.083223, 2, Yellow, Entry
1720447216.1101384, 2, Yellow, Entry
1720447217.0244982, 2, Yellow, Entry
1720447218.0120435, 2, Yellow, Entry
1720447218.874479, 2, Yellow, Entry
1720447219.8292072, 2, Yellow, Entry
1720447220.7229667, 2, Yellow, Entry
1720447221.6016738, 2, Yellow, Entry
1720447223.4184036, 2, Yellow, Entry
1720447226.1447525, 2, Yellow, Entry
1720447227.0764632, 2, Yellow, Entry
1720447227.9733229, 2, Yellow, Entry
1720447228.8881316, 2, Yellow, Entry
1720447229.7797158, 2, Yellow, Entry
1720447230.7462962, 2, Yellow, Entry
1720447695.3084147, 2, Yellow, Entry
1720447696.2916582, 2, Yellow, Entry
1720447698.0569081, 2, Yellow, Entry
1720447702.866773, 2, Green, Entry
1720447789.1475742, 2, Yellow, Entry
1720447790.0790138, 2, Yellow, Entry
1720447791.0894346, 2, Yellow, Entry
1720447792.0045834, 2, Yellow, Entry
1720447793.1116443, 2, Yellow, Entry
1720447796.0018404, 2, Yellow, Entry
1720447802.7331681, 2, Yellow, Entry
1720447803.6174235, 2, Yellow, Entry
1720447804.670141, 2, Yellow, Entry
1720447805.6372082, 2, Yellow, Entry
1720447806.7348366, 2, Yellow, Entry
1720447807.6471064, 2, Yellow, Entry
1720447808.664907, 2, Yellow, Entry
1720447809.541448, 2, Yellow, Entry
1720447810.4388533, 2, Yellow, Entry
1720447811.356892, 2, Yellow, Entry
1720447812.2662003, 2, Yellow, Entry
1720447813.2757914, 2, Yellow, Entry
1720447814.17309, 2, Yellow, Entry
1720447815.0637097, 2, Yellow, Entry
1720447816.0169115, 2, Yellow, Entry
1720447816.9760156, 2, Yellow, Entry
1720447817.853555, 2, Yellow, Entry
1720447818.745603, 2, Yellow, Entry
1720447819.9575293, 2, Yellow, Entry
1720447821.3896205, 2, Yellow, Entry
1720447822.9464147, 2, Yellow, Entry
1720447824.7060952, 2, Yellow, Entry
1720447826.1128871, 2, Yellow, Entry
1720447827.3739882, 2, Yellow, Entry
1720447828.5756066, 2, Yellow, Entry
1720447829.9939559, 2, Yellow, Entry
1720447831.3220985, 2, Yellow, Entry
1720447832.454114, 2, Yellow, Entry
1720447833.3995934, 2, Yellow, Entry
1720447834.3456688, 2, Yellow, Entry
1720447835.3691115, 2, Yellow, Entry
1720447836.2889972, 2, Yellow, Entry
